tick,alive,births_step,deaths_step,births_total,deaths_total,mean_energy,mean_integrity,mean_age,lineages,groups,mean_group_size,grouped_fraction,social_dependency_proxy,move_social_fraction,harvested_energy_step,shared_energy_step,signals_step,action_entropy,signal_detection_rate,partner_detection_rate,step_seconds
1,5000,0,0,0,0,1.929808259010315,0.9988856315612793,1.0,5000,0,0.0,0.0,0.030142858624458313,0.0,742.199951171875,43.20000076293945,459,1.535184383392334,0.17233333333333334,0.57895,0.03350870200006284
20,6804,172,0,1804,0,2.382323980331421,0.9952965974807739,16.249706055261612,5000,0,0.0,0.0,0.08632433414459229,0.0,515.5821533203125,73.352783203125,700,1.753476619720459,0.2966928025733816,0.6965093486127865,0.03212900900007298
40,8191,0,1,3192,1,2.5388710498809814,0.9901708364486694,32.80197778049078,5000,0,0.0,0.0,0.1448037177324295,0.0,347.08380126953125,99.26923370361328,831,1.7870573997497559,0.3178304036458333,0.774383544921875,0.03568415899997035
60,8192,0,0,3211,19,2.72817325592041,0.982079029083252,52.7279052734375,5000,6,6.0,0.00439453125,0.18798425793647766,0.05555555555555555,219.10208129882812,125.61819458007812,774,1.8204971551895142,0.3135579427083333,0.7918701171875,0.03510155899994061
80,8190,1,2,3231,41,2.758132219314575,0.9729468822479248,72.60622710622711,5000,6,6.0,0.004395604395604396,0.21961605548858643,0.08333333333333333,177.00149536132812,117.98881530761719,786,1.8312495946884155,0.2986204370650714,0.8159260163594189,0.036600472000031914
100,8190,0,2,3253,63,2.734886407852173,0.9637928605079651,92.41343101343101,5000,6,6.0,0.004395604395604396,0.24382978677749634,0.0,169.61300659179688,120.81233978271484,739,1.835352897644043,0.29345703125,0.8389892578125,0.035419358000012835
120,8190,1,2,3286,96,2.6893625259399414,0.9550362825393677,112.06312576312577,4999,195,10.666666666666666,0.25335775335775335,0.2631712555885315,0.14795180722891565,171.13941955566406,120.85614776611328,703,1.8349958658218384,0.3008179709437187,0.8534977414235136,0.037538205999908314
140,8191,0,1,3310,119,2.630350112915039,0.947002112865448,131.75814918813333,4996,195,10.666666666666666,0.252716396044439,0.2787616550922394,0.13906325446644133,163.55172729492188,121.37791442871094,717,1.8332880735397339,0.2989095052083333,0.859954833984375,0.035304255000028206
160,8189,4,3,3352,163,2.5510878562927246,0.9397622346878052,151.0910978141409,4985,209,27.358851674641148,0.6969104896812798,0.29237839579582214,0.13434927307759678,155.89279174804688,116.74613189697266,702,1.8307708501815796,0.31521739130434784,0.8590315095261358,0.033786134000024504
180,8189,4,3,3394,205,2.4510371685028076,0.9332939982414246,170.30785199658078,4979,209,27.358851674641148,0.6933691537428257,0.3053846061229706,0.1375,139.11141967773438,108.08377838134766,711,1.8246896266937256,0.3181485100146556,0.8766487542745481,0.0341013729999986
200,8184,2,8,3462,278,2.319371223449707,0.9274923801422119,188.913734115347,4962,209,27.358851674641148,0.6878054740957967,0.31638118624687195,0.14635444385311336,122.58993530273438,120.09634399414062,724,1.8177119493484497,0.31994301994301994,0.8786630036630036,0.03824956400001156
